user_id,age,number_dependents,last_month_salary,total_loans,default_flag,more_90_days_overdue,using_lines_not_secured_personal_assets,debt_ratio
1,55,0,2200,3,0,0,"0,667083229","0,153112222"
2,44,0,7499,20,0,0,"0,007092527","0,1488"
3,54,0,5900,15,0,0,"0,091212944","0,351635316"
4,54,0,2167,3,0,0,"0,112679702","0,06595941"
5,42,2,10415,8,0,0,"0,323985404","0,352150538"
6,63,0,4368,2,0,0,"0,007299854","0,002288853"
7,76,0,1700,4,0,0,0,"0,261610817"
8,55,0,15658,14,0,1,"0,062279783","0,406667092"
9,41,0,8441,6,0,0,"0,479899327","0,209902867"
10,49,0,200,7,0,0,"0,040262851","11,41791045"
11,56,1,6400,5,0,0,"0,843405402","0,592719888"
12,77,0,,17,0,0,"0,012197533",859
13,66,1,2150,2,0,0,"0,001346024",0
14,41,0,10749,9,0,1,"0,964023984","0,059348837"
15,64,0,7083,19,0,0,"0,594159456","1,648362507"
16,69,0,5188,7,0,0,"0,193098651","0,402775101"
17,79,0,10500,22,0,0,"0,142581923","0,082849252"
18,73,0,3922,8,0,0,"0,021974732","0,278103492"
19,51,0,,8,0,0,"0,069206769",2610
20,42,0,,13,0,0,"0,679730033",1546
21,65,2,5000,5,0,0,"0,03195895","0,00939812"
22,75,0,0,6,0,0,"0,115360102",1477
23,41,0,,2,0,5,"0,9999999",1365
24,53,0,9939,12,0,0,"0,463463272","0,407847082"
25,59,2,7930,5,0,0,"0,385941521","0,238935821"
26,55,0,5562,11,0,0,"0,210206778","0,302714363"
27,76,0,2500,15,0,0,"0,021943625","0,043182727"
28,56,0,2835,11,0,0,"0,017425167","0,893159379"
29,43,0,5833,8,0,1,"0,001496395","0,492458005"
30,31,0,8160,7,0,0,"0,186146156","0,532410244"
31,74,0,,8,0,0,"0,196758683",2835
32,67,0,6862,7,0,0,"0,022846024","0,075768614"
33,63,0,,9,0,0,"0,457100576",4945
34,62,0,,4,0,0,0,1565
35,57,0,,6,0,0,"0,188842147",1243
36,72,0,,8,0,0,"0,071393361",1221
37,69,0,,4,0,0,"0,009057006",6
38,67,0,4453,8,0,0,"0,190081662","0,075886843"
39,50,0,,4,0,0,"0,713313484",2104
40,49,0,5866,3,0,0,"0,026774331","0,128515425"
41,62,0,6500,16,0,0,"0,188517566","0,817720351"
42,34,4,5800,4,0,0,"0,9999999","0,091191174"
43,59,1,5416,6,0,0,0,"0,223186265"
44,46,0,3732,4,0,0,"0,165751474","0,109831235"
45,54,0,,11,0,0,"0,44596953",1634
46,73,0,,11,0,0,"0,026803597",56
47,49,0,8900,8,0,0,"0,022933674","0,300528031"
48,53,0,4166,16,0,0,"0,054887623","0,142308615"
49,83,0,4694,8,0,0,"0,000113819","0,17657082"
50,34,0,1000,8,0,0,"0,093429188","2,527472527"
51,65,0,3750,3,0,0,"0,079321709","0,022127433"
52,72,1,5866,17,0,0,"0,040244363","0,274416226"
53,84,1,3001,5,0,0,"0,010217705","0,003331113"
54,71,1,6000,11,0,0,"0,686515026","0,309281786"
55,56,1,12000,4,0,0,"0,066789741","0,037913507"
57,45,0,,7,0,0,"0,626981331",5338
58,65,,,9,0,0,"0,014022029",1795
60,50,0,5000,15,0,0,"0,182710086","0,028994201"
61,49,2,6600,15,0,0,"0,022794657","0,879109226"
62,88,,,3,0,0,"0,058241061",36
63,79,0,4273,6,0,0,"0,200242796","0,256200281"
64,48,0,15000,12,0,0,"0,9999999","0,539697354"
65,37,0,6232,3,0,0,"0,179847652","0,029359859"
66,59,0,3213,17,0,0,"0,06181292","0,528624767"
67,55,1,10916,9,0,0,"0,719017413","0,244023083"
68,47,3,5560,10,0,0,"0,952488964","0,340406402"
69,23,0,,7,0,0,"1,005712654",1092
70,56,2,6860,6,0,0,"0,014271373","0,404897245"
71,54,1,0,7,0,0,"0,59045152",1267
72,69,0,3668,5,0,0,"0,05168249","0,007358953"
73,52,0,5115,4,0,0,"0,003363534","0,000586396"
74,76,0,5000,6,0,0,"0,006739541","0,148370326"
75,46,1,12040,13,0,0,"0,851882962","0,378373889"
76,76,0,2714,21,0,0,"0,242150295","0,830939227"
77,70,2,7500,12,0,0,"0,024576473","0,19477403"
78,67,0,,4,0,0,"0,9999999",2247
79,56,1,5583,13,0,0,"0,296724621","0,384670487"
80,37,0,,3,0,0,"0,028210996",44
81,51,1,11000,8,0,0,"0,205034718","0,407417507"
82,43,2,1333,4,0,0,"0,244197674","2,350824588"
83,79,0,2600,15,0,0,"0,005627802","0,232602845"
84,43,3,4000,5,0,0,"0,60369641","0,408397901"
85,45,3,5666,8,0,0,"0,043186305","0,171342862"
86,38,1,4583,9,0,0,"0,878372311","0,277268761"
87,28,0,5500,4,0,0,"0,058941059","0,080894383"
88,44,3,51140,7,0,2,"0,8732507","0,021000763"
89,43,2,9166,7,0,0,"0,592819985","0,20584706"
90,58,0,,8,0,0,"0,066286816",1207
91,80,0,6500,5,0,0,"0,000449978",0
92,25,0,5000,2,0,0,"0,03552937","0,0009998"
93,40,,,3,0,0,"0,9999999",424
94,52,0,3000,2,0,0,"0,859114089","0,160946351"
95,27,0,2800,9,0,0,"0,113051593","0,131024634"
96,28,0,3500,5,0,1,"0,641376268","0,160811197"
97,59,0,8110,9,0,0,"0,6356961","0,252866478"
98,45,1,5600,11,0,0,"0,183095507","0,79128727"
99,23,0,2200,3,0,0,"0,347330534","0,094502499"
100,62,0,,19,0,0,"0,520300666",2578
101,45,2,5200,1,0,0,0,0
102,90,0,7083,9,0,0,"0,002777623","0,076510446"
103,64,0,,4,0,0,"0,091717813",739
104,43,2,5708,3,0,0,0,"0,197057278"
105,51,1,13455,10,0,0,"0,012008","0,0031956"
106,63,,,5,0,0,0,14
107,37,4,12996,9,0,0,"0,566577567","0,302608294"
108,83,0,2000,10,0,0,"0,32743763","0,382808596"
109,63,0,,9,0,0,"0,040339651",1704
110,89,0,3400,4,0,0,"0,011770756","0,001470156"
111,50,2,15000,9,0,0,"0,035565408","0,497233518"
112,40,1,5600,5,0,0,"0,970388412","0,391001607"
113,50,2,4667,5,0,0,"0,015805942","0,149314482"
114,49,2,4000,5,0,0,"0,193265993","0,11572107"
115,63,0,2500,11,0,0,"0,045926651","0,023990404"
