user_id,loan_type_other,loan_type_real_estate,total_loans
9984,22,2,24
13056,44,6,50
3585,22,1,23
17153,25,1,26
29954,30,4,34
22531,26,1,27
8708,28,,28
17924,21,2,23
26116,16,7,23
517,24,,24
3333,22,3,25
7429,26,2,28
16901,29,,29
34309,19,3,22
11526,42,3,45
12294,24,2,26
20742,22,3,25
33031,21,1,22
9992,21,1,22
11272,32,2,34
15880,22,1,23
21256,21,2,23
27656,22,,22
11273,27,1,28
27145,23,2,25
30473,22,,22
17930,21,2,23
10763,25,4,29
12811,22,,22
31755,21,1,22
4876,22,2,24
8972,29,2,31
10252,31,2,33
12300,22,1,23
14604,28,2,30
22540,20,2,22
24588,24,8,32
32524,20,2,22
9485,19,3,22
11533,20,2,22
19469,21,1,22
20493,22,1,23
7182,26,3,29
9231,20,2,22
19728,28,3,31
21264,23,2,25
23056,20,2,22
17,22,,22
13841,29,4,33
14097,19,4,23
26385,29,1,30
31505,18,6,24
1042,40,,40
32786,20,2,22
34834,23,2,25
35090,20,8,28
1555,28,,28
16147,23,3,26
21779,23,4,27
30483,23,,23
32019,20,2,22
3348,21,1,22
20756,32,1,33
26132,32,,32
6421,22,3,25
8213,23,2,25
15638,23,2,25
8727,15,7,22
10007,21,1,22
27159,24,3,27
28951,26,,26
23320,24,1,25
26904,32,2,34
14617,20,2,22
17689,21,2,23
1050,27,1,28
8986,27,3,30
30234,25,,25
1307,24,2,26
1819,20,2,22
3355,21,2,23
6939,21,2,23
14107,29,1,30
1308,24,2,26
4380,31,2,33
31260,21,1,22
2077,23,3,26
7197,22,2,24
32029,16,7,23
14622,24,,24
29982,25,3,28
34334,31,3,34
17951,28,2,30
15392,24,2,26
21280,23,3,26
34080,27,,27
2337,24,2,26
13345,21,1,22
17697,23,2,25
31777,24,2,26
16162,25,2,27
29986,24,,24
32290,22,2,24
5411,27,1,28
14371,24,1,25
33827,21,1,22
12837,23,,23
14373,20,2,22
15397,33,2,35
31526,32,2,34
21031,40,3,43
28455,21,1,22
31783,25,,25
7976,22,,22
9512,23,,23
16168,25,3,28
17448,20,4,24
35112,20,2,22
17193,20,2,22
28457,23,2,25
5930,23,1,24
9770,22,2,24
13610,20,6,26
23850,21,2,23
23339,19,5,24
1580,22,2,24
15404,21,1,22
22828,26,2,28
32812,23,4,27
1325,25,1,26
6189,22,3,25
14381,42,3,45
28717,22,1,23
18734,21,2,23
18990,25,3,28
3631,48,5,53
29999,22,1,23
23600,34,2,36
27184,28,2,30
29232,22,2,24
8497,17,10,27
11057,20,2,22
19249,26,1,27
1586,24,2,26
6450,21,2,23
12082,23,2,25
26674,20,2,22
34098,28,3,31
563,22,1,23
6963,22,1,23
29491,22,2,24
15156,16,12,28
12085,19,3,22
24629,19,3,22
26421,23,2,25
35893,24,2,26
7734,22,2,24
23606,27,1,28
27959,22,2,24
28215,22,2,24
2872,32,1,33
7992,22,,22
22584,17,6,23
31544,20,2,22
2361,21,1,22
5945,22,1,23
11322,20,2,22
20794,27,2,29
32826,29,2,31
34106,30,2,32
4923,21,1,22
9531,24,2,26
23611,13,9,22
3132,22,3,25
7996,21,3,24
10044,18,5,23
22844,24,5,29
32828,21,2,23
35645,23,2,25
13374,41,1,42
23103,24,,24
4417,13,10,23
15937,25,3,28
17729,22,2,24
30273,35,2,37
33345,24,,24
3394,15,8,23
18242,21,2,23
22082,30,2,32
23362,23,2,25
28482,32,,32
35650,16,7,23
13379,30,,30
20547,22,2,24
16452,26,1,27
23364,10,12,22
27205,18,16,34
35397,23,1,24
6470,19,3,22
21830,22,1,23
6215,25,,25
8263,23,2,25
9799,22,3,25
14407,16,6,22
24391,27,1,28
1096,22,1,23
6472,23,2,25
9288,21,2,23
17992,31,4,35
16457,23,1,24
19785,23,2,25
21577,25,,25
2378,23,2,25
30027,22,2,24
1356,30,2,32
3404,18,4,22
7756,21,2,23
589,22,2,24
3405,21,2,23
10317,26,1,27
6222,13,12,25
20814,32,3,35
15183,24,1,25
15439,23,2,25
19279,27,1,28
22095,21,2,23
25935,21,1,22
12112,28,3,31
28240,25,2,27
5969,24,1,25
10577,22,4,26
19281,37,2,39
3154,17,25,42
7762,28,1,29
24146,22,1,23
32082,23,2,25
6227,37,,37
10579,20,20,40
18771,25,,25
24147,22,1,23
6484,16,6,22
9300,21,3,24
13652,17,5,22
15444,22,1,23
31060,22,,22
7509,21,2,23
14677,20,2,22
20053,22,2,24
4438,20,2,22
16982,30,1,31
19798,25,1,26
3159,22,2,24
5975,19,4,23
21335,23,,23
34135,20,3,23
